tradingDay,logR,buyP,sellP,ideal
20151009,0.00815763582631131,-1.9259683706759176,1.3957920916662383,1.0
20151012,0.021193816007001626,-1.1683194219144326,0.6449341495733334,1.0
20151013,0.011724004488453716,-0.3988988774271041,-0.10550947760122882,1.0
20151014,-0.027118402440937314,-0.14825174490033158,-0.3176886077436031,0.99767025415608
20151015,0.018977777397095642,1.0038728693568575,-1.4396108427760752,0.9703561953491986
20151016,0.00455958925601669,1.3606784818971258,-1.8095824583750884,0.9350344210297264
20151019,0.04311983246735729,1.4590144918410692,-1.8846855293170903,0.8978280497595106
20151020,-0.008994327969581413,0.8148867985508971,-1.2290978346626231,0.8749300077580502
20151021,-0.0728083554829675,-0.853372764916659,0.4342417581855419,0.8886746365054433
20151022,0.027213335336667456,-0.038842994014543566,-0.3740697155586706,0.8845742298588848
20151023,0.01467972368292819,0.5067216868192935,-0.9199789990061916,0.8684672650026176
20151026,0.032305512015055333,1.3100411183402838,-1.7199083132867146,0.8347279540597741
20151027,0.005078084675564585,1.3628396387735742,-1.7706658305704062,0.7998515677051935
20151028,-0.008765303275783691,0.5407897263060262,-0.9456969789101248,0.7830953066952117
20151029,0.013667177190095673,1.1188543333545629,-1.5228549104528757,0.7536325044362315
20151030,-0.008324553146232054,1.0767197683551364,-1.4811611271059582,0.7250913732274087
20151102,-0.03119865606716954,0.7601763675093274,-1.1555438197272656,0.7036230837155882
20151103,-0.0009394411366732004,1.1922944366196848,-1.577924466466072,0.6727650457517985
20151104,0.04140870237353765,1.5005859589575463,-1.8536815575903949,0.6355150074711383
20151105,0.00281403688163256,1.6352984692718682,-1.9868782687132256,0.5953194835538609
20151106,0.02827934330623246,2.2485998041644266,-2.597882083694807,0.5416589005078789
20151109,0.019258361563394097,2.1898304200549927,-2.5397841323000305,0.4892831867197286
20151110,-0.007507107954457194,1.973855533324487,-2.324492627693968,0.4416507198541561
20151111,0.00047888531612082013,2.2062692209815564,-2.5542922463358533,0.3889365206883103
20151112,0.002450993859042137,2.271183293933676,-2.619020970550512,0.3347964361023674
20151113,0.01898464578167624,2.929407717306832,-3.2728367445863005,0.2662283179942635
20151116,-0.0016723976777299767,2.7080715154395008,-3.044810819662433,0.20260987300391928
20151117,-0.016460737635130288,2.2420654532978745,-2.5810543398476207,0.1492165663927691
20151118,-0.021271645775659542,1.306825934304242,-1.6438168184578064,0.116422505228233
20151119,0.01874520567784789,1.4199154942078407,-1.747561023426208,0.0812526180050401
20151120,-0.0024319548062861104,2.0183966195269893,-2.3834289532847044,0.03246750437035376
20151123,-0.007203885788507783,1.5692444842546491,-1.933111997177361,0.0
20151124,-0.002969404320528057,1.101892981946485,-1.4688031682182747,0.0
20151125,0.015119127794978144,2.4444054391986705,-2.837489359614733,0.0
20151126,-0.001486103705303534,1.8922116519233032,-2.289464404492326,0.0
20151127,-0.06336267937719416,1.0982654612234135,-1.5145607023729233,0.0
20151130,0.016064275810526274,0.8995865931414467,-1.307207979943919,0.0
20151201,0.000381927056575772,1.2130540471807054,-1.6219900157674618,0.0
20151202,0.0294937515821068,2.401020089352069,-2.7853233607568195,0.0
20151203,0.01108137415079652,2.6815401257877607,-3.065859018180638,0.0
20151204,-0.01560716058761093,2.1545075515012937,-2.539795269068064,0.0
20151207,0.007892769981296573,1.6104656163736892,-1.9974845357279107,0.0
20151208,-0.030336534596963838,1.1292302856974985,-1.5196100150498095,0.0
20151209,0.02496964738342111,2.076665897343665,-2.469118739711191,0.0
20151210,-0.014700525183277843,1.5382507768195113,-1.931710438285578,0.0
20151211,-0.00910633711610302,1.4077309995498468,-1.8012104830592894,0.0
20151214,0.019459431156219027,2.7252778186618425,-3.1298148063266287,0.0
20151215,0.0018263312413509887,2.8726088271823187,-3.2769031100647266,0.0
20151216,-0.005497081304393671,2.6337620983518057,-3.0338654081258856,0.0
20151217,0.0172267635863203,2.479588694423915,-2.888507395804861,0.0
